id,date,number1,number2,number3,number4,number5,powerball
5,10/21/2015,30,32,42,56,57,11
6,10/24/2015,20,31,56,60,64,2
7,10/28/2015,4,54,56,62,63,10
8,10/31/2015,9,20,25,47,68,7
12,11/14/2015,14,22,37,45,66,5
13,11/18/2015,17,40,41,46,69,6
14,11/21/2015,37,47,50,52,57,21
15,11/25/2015,16,29,53,58,69,21
16,11/28/2015,2,6,47,66,67,2
21,12/16/2015,9,10,32,42,55,6
22,12/19/2015,28,30,41,59,68,10
23,12/23/2015,16,38,55,63,67,25
24,12/26/2015,27,40,44,59,65,20
25,12/30/2015,12,36,38,54,61,22
29,1/13/2016,4,8,19,27,34,10
30,1/16/2016,3,51,52,61,64,6
31,1/20/2016,5,39,44,47,69,24
32,1/23/2016,22,32,34,40,69,19
33,1/27/2016,3,12,40,52,67,21
34,1/30/2016,5,12,16,31,43,18
38,2/13/2016,7,15,18,19,36,20
39,2/17/2016,7,17,27,29,40,25
40,2/20/2016,11,12,15,16,54,25
41,2/24/2016,21,31,64,65,67,5
42,2/27/2016,10,11,21,22,53,18
47,3/16/2016,10,12,13,46,50,21
48,3/19/2016,11,23,43,54,60,3
49,3/23/2016,5,8,15,22,49,25
50,3/26/2016,11,23,42,52,68,6
51,3/30/2016,24,44,53,55,63,19
55,4/13/2016,30,33,35,38,64,22
56,4/16/2016,3,18,25,32,51,3
57,4/20/2016,12,25,30,52,62,8
58,4/23/2016,19,35,46,59,62,13
59,4/27/2016,2,25,33,39,64,17
60,4/30/2016,3,12,16,32,34,14
64,5/14/2016,13,27,47,64,65,9
65,5/18/2016,23,25,39,54,67,11
66,5/21/2016,5,7,9,23,32,26
67,5/25/2016,11,24,41,59,64,15
68,5/28/2016,6,33,34,58,59,12
73,6/15/2016,4,22,24,31,33,10
74,6/18/2016,2,23,41,53,63,11
75,6/22/2016,14,40,42,43,52,17
76,6/25/2016,3,27,36,56,69,25
77,6/29/2016,23,29,37,60,64,6
81,7/13/2016,3,15,29,54,57,10
82,7/16/2016,11,17,40,50,62,26
